Compound,Negative,Neutral,NewsAgency,Positive,Tweets_Ago
0.0,0.0,1.0,@BBC,0.0,
0.459,0.0,0.667,@BBC,0.333,1.0026273569961124e+18
0.0,0.0,1.0,@BBC,0.0,1.0026110124644966e+18
0.0,0.0,1.0,@BBC,0.0,1.0025888366675436e+18
0.459,0.0,0.842,@BBC,0.158,1.0025815540135813e+18
0.625,0.0,0.797,@BBC,0.203,1.0025728598422243e+18
0.178,0.115,0.7,@BBC,0.185,1.0025565409713768e+18
0.572,0.0,0.684,@BBC,0.316,1.0025353213708125e+18
0.0,0.0,1.0,@BBC,0.0,1.0025282007302719e+18
0.077,0.0,0.947,@BBC,0.053,1.0025204055995064e+18
-0.637,0.252,0.688,@BBC,0.06,1.0025077440066275e+18
0.0,0.0,1.0,@BBC,0.0,1.0025051022996726e+18
0.0,0.0,1.0,@BBC,0.0,1.0024970860662252e+18
0.0,0.0,1.0,@BBC,0.0,1.0024903366508913e+18
0.44,0.129,0.612,@BBC,0.259,1.002464963175375e+18
0.0,0.0,1.0,@BBC,0.0,1.0024597566390149e+18
0.318,0.198,0.496,@BBC,0.306,1.0024529550591058e+18
-0.7,0.244,0.756,@BBC,0.0,1.0024446973469532e+18
0.604,0.0,0.768,@BBC,0.232,1.0022639561557565e+18
0.802,0.0,0.745,@BBC,0.255,1.0022491278020813e+18
0.0,0.0,1.0,@BBC,0.0,1.0022337711758952e+18
0.459,0.0,0.667,@BBC,0.333,1.0026273569961124e+18
0.0,0.0,1.0,@BBC,0.0,1.0026110124644966e+18
0.0,0.0,1.0,@BBC,0.0,1.0025888366675436e+18
0.459,0.0,0.842,@BBC,0.158,1.0025815540135813e+18
0.625,0.0,0.797,@BBC,0.203,1.0025728598422243e+18
0.178,0.115,0.7,@BBC,0.185,1.0025565409713768e+18
0.572,0.0,0.684,@BBC,0.316,1.0025353213708125e+18
0.0,0.0,1.0,@BBC,0.0,1.0025282007302719e+18
0.077,0.0,0.947,@BBC,0.053,1.0025204055995064e+18
-0.637,0.252,0.688,@BBC,0.06,1.0025077440066275e+18
0.0,0.0,1.0,@BBC,0.0,1.0025051022996726e+18
0.0,0.0,1.0,@BBC,0.0,1.0024970860662252e+18
0.0,0.0,1.0,@BBC,0.0,1.0024903366508913e+18
0.44,0.129,0.612,@BBC,0.259,1.002464963175375e+18
0.0,0.0,1.0,@BBC,0.0,1.0024597566390149e+18
0.318,0.198,0.496,@BBC,0.306,1.0024529550591058e+18
-0.7,0.244,0.756,@BBC,0.0,1.0024446973469532e+18
0.604,0.0,0.768,@BBC,0.232,1.0022639561557565e+18
0.802,0.0,0.745,@BBC,0.255,1.0022491278020813e+18
0.0,0.0,1.0,@BBC,0.0,1.0022337711758952e+18
0.459,0.0,0.667,@BBC,0.333,1.0026273569961124e+18
0.0,0.0,1.0,@BBC,0.0,1.0026110124644966e+18
0.0,0.0,1.0,@BBC,0.0,1.0025888366675436e+18
0.459,0.0,0.842,@BBC,0.158,1.0025815540135813e+18
0.625,0.0,0.797,@BBC,0.203,1.0025728598422243e+18
0.178,0.115,0.7,@BBC,0.185,1.0025565409713768e+18
0.572,0.0,0.684,@BBC,0.316,1.0025353213708125e+18
0.0,0.0,1.0,@BBC,0.0,1.0025282007302719e+18
0.077,0.0,0.947,@BBC,0.053,1.0025204055995064e+18
-0.637,0.252,0.688,@BBC,0.06,1.0025077440066275e+18
0.0,0.0,1.0,@BBC,0.0,1.0025051022996726e+18
0.0,0.0,1.0,@BBC,0.0,1.0024970860662252e+18
0.0,0.0,1.0,@BBC,0.0,1.0024903366508913e+18
0.44,0.129,0.612,@BBC,0.259,1.002464963175375e+18
0.0,0.0,1.0,@BBC,0.0,1.0024597566390149e+18
0.318,0.198,0.496,@BBC,0.306,1.0024529550591058e+18
-0.7,0.244,0.756,@BBC,0.0,1.0024446973469532e+18
0.604,0.0,0.768,@BBC,0.232,1.0022639561557565e+18
0.802,0.0,0.745,@BBC,0.255,1.0022491278020813e+18
0.0,0.0,1.0,@BBC,0.0,1.0022337711758952e+18
0.459,0.0,0.667,@BBC,0.333,1.0026273569961124e+18
0.0,0.0,1.0,@BBC,0.0,1.0026110124644966e+18
0.0,0.0,1.0,@BBC,0.0,1.0025888366675436e+18
0.459,0.0,0.842,@BBC,0.158,1.0025815540135813e+18
0.625,0.0,0.797,@BBC,0.203,1.0025728598422243e+18
0.178,0.115,0.7,@BBC,0.185,1.0025565409713768e+18
0.572,0.0,0.684,@BBC,0.316,1.0025353213708125e+18
0.0,0.0,1.0,@BBC,0.0,1.0025282007302719e+18
0.077,0.0,0.947,@BBC,0.053,1.0025204055995064e+18
-0.637,0.252,0.688,@BBC,0.06,1.0025077440066275e+18
0.0,0.0,1.0,@BBC,0.0,1.0025051022996726e+18
0.0,0.0,1.0,@BBC,0.0,1.0024970860662252e+18
0.0,0.0,1.0,@BBC,0.0,1.0024903366508913e+18
0.44,0.129,0.612,@BBC,0.259,1.002464963175375e+18
0.0,0.0,1.0,@BBC,0.0,1.0024597566390149e+18
0.318,0.198,0.496,@BBC,0.306,1.0024529550591058e+18
-0.7,0.244,0.756,@BBC,0.0,1.0024446973469532e+18
0.604,0.0,0.768,@BBC,0.232,1.0022639561557565e+18
0.802,0.0,0.745,@BBC,0.255,1.0022491278020813e+18
0.0,0.0,1.0,@BBC,0.0,1.0022337711758952e+18
0.459,0.0,0.667,@BBC,0.333,1.0026273569961124e+18
0.0,0.0,1.0,@BBC,0.0,1.0026110124644966e+18
0.0,0.0,1.0,@BBC,0.0,1.0025888366675436e+18
0.459,0.0,0.842,@BBC,0.158,1.0025815540135813e+18
0.625,0.0,0.797,@BBC,0.203,1.0025728598422243e+18
0.178,0.115,0.7,@BBC,0.185,1.0025565409713768e+18
0.572,0.0,0.684,@BBC,0.316,1.0025353213708125e+18
0.0,0.0,1.0,@BBC,0.0,1.0025282007302719e+18
0.077,0.0,0.947,@BBC,0.053,1.0025204055995064e+18
-0.637,0.252,0.688,@BBC,0.06,1.0025077440066275e+18
0.0,0.0,1.0,@BBC,0.0,1.0025051022996726e+18
0.0,0.0,1.0,@BBC,0.0,1.0024970860662252e+18
0.0,0.0,1.0,@BBC,0.0,1.0024903366508913e+18
0.44,0.129,0.612,@BBC,0.259,1.002464963175375e+18
0.0,0.0,1.0,@BBC,0.0,1.0024597566390149e+18
0.318,0.198,0.496,@BBC,0.306,1.0024529550591058e+18
-0.7,0.244,0.756,@BBC,0.0,1.0024446973469532e+18
0.604,0.0,0.768,@BBC,0.232,1.0022639561557565e+18
0.802,0.0,0.745,@BBC,0.255,1.0022491278020813e+18
-0.39,0.131,0.807,@CBS,0.062,
0.844,0.0,0.664,@CBS,0.336,1.0026055163280344e+18
0.893,0.0,0.545,@CBS,0.455,1.0025956420935639e+18
0.493,0.0,0.849,@CBS,0.151,1.0023364234360545e+18
0.0,0.0,1.0,@CBS,0.0,1.0018425595959542e+18
0.0,0.0,1.0,@CBS,0.0,1.0012064801446872e+18
0.624,0.0,0.797,@CBS,0.203,1.0009216796844851e+18
0.586,0.0,0.826,@CBS,0.174,9.994266573990953e+17
0.114,0.0,0.917,@CBS,0.083,9.993650229406761e+17
0.0,0.0,1.0,@CBS,0.0,9.990673001278505e+17
0.0,0.0,1.0,@CBS,0.0,9.990176461662331e+17
0.338,0.061,0.808,@CBS,0.131,9.986999648333907e+17
0.187,0.0,0.92,@CBS,0.08,9.982922758505554e+17
0.42,0.0,0.715,@CBS,0.285,9.982469798922117e+17
0.0,0.0,1.0,@CBS,0.0,9.977486969461637e+17
0.36,0.0,0.849,@CBS,0.151,9.975826014760837e+17
0.718,0.0,0.739,@CBS,0.261,9.974769167174125e+17
0.187,0.0,0.907,@CBS,0.093,9.972615952679076e+17
0.0,0.0,1.0,@CBS,0.0,9.972252393889464e+17
0.556,0.0,0.854,@CBS,0.146,9.971932443405025e+17
-0.39,0.131,0.807,@CBS,0.062,9.970994173279478e+17
0.844,0.0,0.664,@CBS,0.336,1.0026055163280344e+18
0.893,0.0,0.545,@CBS,0.455,1.0025956420935639e+18
0.493,0.0,0.849,@CBS,0.151,1.0023364234360545e+18
0.0,0.0,1.0,@CBS,0.0,1.0018425595959542e+18
0.0,0.0,1.0,@CBS,0.0,1.0012064801446872e+18
0.624,0.0,0.797,@CBS,0.203,1.0009216796844851e+18
0.586,0.0,0.826,@CBS,0.174,9.994266573990953e+17
0.114,0.0,0.917,@CBS,0.083,9.993650229406761e+17
0.0,0.0,1.0,@CBS,0.0,9.990673001278505e+17
0.0,0.0,1.0,@CBS,0.0,9.990176461662331e+17
0.338,0.061,0.808,@CBS,0.131,9.986999648333907e+17
0.187,0.0,0.92,@CBS,0.08,9.982922758505554e+17
0.42,0.0,0.715,@CBS,0.285,9.982469798922117e+17
0.0,0.0,1.0,@CBS,0.0,9.977486969461637e+17
0.36,0.0,0.849,@CBS,0.151,9.975826014760837e+17
0.718,0.0,0.739,@CBS,0.261,9.974769167174125e+17
0.187,0.0,0.907,@CBS,0.093,9.972615952679076e+17
0.0,0.0,1.0,@CBS,0.0,9.972252393889464e+17
0.556,0.0,0.854,@CBS,0.146,9.971932443405025e+17
-0.39,0.131,0.807,@CBS,0.062,9.970994173279478e+17
0.844,0.0,0.664,@CBS,0.336,1.0026055163280344e+18
0.893,0.0,0.545,@CBS,0.455,1.0025956420935639e+18
0.493,0.0,0.849,@CBS,0.151,1.0023364234360545e+18
0.0,0.0,1.0,@CBS,0.0,1.0018425595959542e+18
0.0,0.0,1.0,@CBS,0.0,1.0012064801446872e+18
0.624,0.0,0.797,@CBS,0.203,1.0009216796844851e+18
0.586,0.0,0.826,@CBS,0.174,9.994266573990953e+17
0.114,0.0,0.917,@CBS,0.083,9.993650229406761e+17
0.0,0.0,1.0,@CBS,0.0,9.990673001278505e+17
0.0,0.0,1.0,@CBS,0.0,9.990176461662331e+17
0.338,0.061,0.808,@CBS,0.131,9.986999648333907e+17
0.187,0.0,0.92,@CBS,0.08,9.982922758505554e+17
0.42,0.0,0.715,@CBS,0.285,9.982469798922117e+17
0.0,0.0,1.0,@CBS,0.0,9.977486969461637e+17
0.36,0.0,0.849,@CBS,0.151,9.975826014760837e+17
0.718,0.0,0.739,@CBS,0.261,9.974769167174125e+17
0.187,0.0,0.907,@CBS,0.093,9.972615952679076e+17
0.0,0.0,1.0,@CBS,0.0,9.972252393889464e+17
0.556,0.0,0.854,@CBS,0.146,9.971932443405025e+17
-0.39,0.131,0.807,@CBS,0.062,9.970994173279478e+17
0.844,0.0,0.664,@CBS,0.336,1.0026055163280344e+18
0.893,0.0,0.545,@CBS,0.455,1.0025956420935639e+18
0.493,0.0,0.849,@CBS,0.151,1.0023364234360545e+18
0.0,0.0,1.0,@CBS,0.0,1.0018425595959542e+18
0.0,0.0,1.0,@CBS,0.0,1.0012064801446872e+18
0.624,0.0,0.797,@CBS,0.203,1.0009216796844851e+18
0.586,0.0,0.826,@CBS,0.174,9.994266573990953e+17
0.114,0.0,0.917,@CBS,0.083,9.993650229406761e+17
0.0,0.0,1.0,@CBS,0.0,9.990673001278505e+17
0.0,0.0,1.0,@CBS,0.0,9.990176461662331e+17
0.338,0.061,0.808,@CBS,0.131,9.986999648333907e+17
0.187,0.0,0.92,@CBS,0.08,9.982922758505554e+17
0.42,0.0,0.715,@CBS,0.285,9.982469798922117e+17
0.0,0.0,1.0,@CBS,0.0,9.977486969461637e+17
0.36,0.0,0.849,@CBS,0.151,9.975826014760837e+17
0.718,0.0,0.739,@CBS,0.261,9.974769167174125e+17
0.187,0.0,0.907,@CBS,0.093,9.972615952679076e+17
0.0,0.0,1.0,@CBS,0.0,9.972252393889464e+17
0.556,0.0,0.854,@CBS,0.146,9.971932443405025e+17
-0.39,0.131,0.807,@CBS,0.062,9.970994173279478e+17
0.844,0.0,0.664,@CBS,0.336,1.0026055163280344e+18
0.893,0.0,0.545,@CBS,0.455,1.0025956420935639e+18
0.493,0.0,0.849,@CBS,0.151,1.0023364234360545e+18
0.0,0.0,1.0,@CBS,0.0,1.0018425595959542e+18
0.0,0.0,1.0,@CBS,0.0,1.0012064801446872e+18
0.624,0.0,0.797,@CBS,0.203,1.0009216796844851e+18
0.586,0.0,0.826,@CBS,0.174,9.994266573990953e+17
0.114,0.0,0.917,@CBS,0.083,9.993650229406761e+17
0.0,0.0,1.0,@CBS,0.0,9.990673001278505e+17
0.0,0.0,1.0,@CBS,0.0,9.990176461662331e+17
0.338,0.061,0.808,@CBS,0.131,9.986999648333907e+17
0.187,0.0,0.92,@CBS,0.08,9.982922758505554e+17
0.42,0.0,0.715,@CBS,0.285,9.982469798922117e+17
0.0,0.0,1.0,@CBS,0.0,9.977486969461637e+17
0.36,0.0,0.849,@CBS,0.151,9.975826014760837e+17
0.718,0.0,0.739,@CBS,0.261,9.974769167174125e+17
0.187,0.0,0.907,@CBS,0.093,9.972615952679076e+17
0.0,0.0,1.0,@CBS,0.0,9.972252393889464e+17
0.556,0.0,0.854,@CBS,0.146,9.971932443405025e+17
0.0,0.0,1.0,@CNN,0.0,
-0.103,0.085,0.915,@CNN,0.0,1.0026531599642665e+18
-0.296,0.171,0.714,@CNN,0.114,1.0026497782478725e+18
-0.34,0.216,0.637,@CNN,0.147,1.0026461564328059e+18
-0.511,0.321,0.535,@CNN,0.144,1.0026425061971927e+18
-0.103,0.08,0.92,@CNN,0.0,1.0026388984037089e+18
0.0,0.0,1.0,@CNN,0.0,1.002635330095403e+18
0.0,0.0,1.0,@CNN,0.0,1.0026318062885806e+18
-0.34,0.088,0.912,@CNN,0.0,1.0026283482190971e+18
0.0,0.0,1.0,@CNN,0.0,1.0026261195212268e+18
0.0,0.0,1.0,@CNN,0.0,1.0026225498537943e+18
0.296,0.0,0.885,@CNN,0.115,1.0026214116246734e+18
0.673,0.0,0.765,@CNN,0.235,1.002619829088596e+18
0.0,0.0,1.0,@CNN,0.0,1.002618303284736e+18
-0.778,0.43,0.57,@CNN,0.0,1.0026157635329925e+18
-0.557,0.159,0.841,@CNN,0.0,1.0026132724435886e+18
0.0,0.0,1.0,@CNN,0.0,1.0026111564759615e+18
0.477,0.0,0.846,@CNN,0.154,1.00260785119232e+18
0.0,0.0,1.0,@CNN,0.0,1.0026046904865546e+18
-0.103,0.08,0.92,@CNN,0.0,1.0026008067833405e+18
0.0,0.0,1.0,@CNN,0.0,1.0025981739557642e+18
-0.103,0.085,0.915,@CNN,0.0,1.0026531599642665e+18
-0.296,0.171,0.714,@CNN,0.114,1.0026497782478725e+18
-0.34,0.216,0.637,@CNN,0.147,1.0026461564328059e+18
-0.511,0.321,0.535,@CNN,0.144,1.0026425061971927e+18
-0.103,0.08,0.92,@CNN,0.0,1.0026388984037089e+18
0.0,0.0,1.0,@CNN,0.0,1.002635330095403e+18
0.0,0.0,1.0,@CNN,0.0,1.0026318062885806e+18
-0.34,0.088,0.912,@CNN,0.0,1.0026283482190971e+18
0.0,0.0,1.0,@CNN,0.0,1.0026261195212268e+18
0.0,0.0,1.0,@CNN,0.0,1.0026225498537943e+18
0.296,0.0,0.885,@CNN,0.115,1.0026214116246734e+18
0.673,0.0,0.765,@CNN,0.235,1.002619829088596e+18
0.0,0.0,1.0,@CNN,0.0,1.002618303284736e+18
-0.778,0.43,0.57,@CNN,0.0,1.0026157635329925e+18
-0.557,0.159,0.841,@CNN,0.0,1.0026132724435886e+18
0.0,0.0,1.0,@CNN,0.0,1.0026111564759615e+18
0.477,0.0,0.846,@CNN,0.154,1.00260785119232e+18
0.0,0.0,1.0,@CNN,0.0,1.0026046904865546e+18
-0.103,0.08,0.92,@CNN,0.0,1.0026008067833405e+18
0.0,0.0,1.0,@CNN,0.0,1.0025981739557642e+18
-0.103,0.085,0.915,@CNN,0.0,1.0026531599642665e+18
-0.296,0.171,0.714,@CNN,0.114,1.0026497782478725e+18
-0.34,0.216,0.637,@CNN,0.147,1.0026461564328059e+18
-0.511,0.321,0.535,@CNN,0.144,1.0026425061971927e+18
-0.103,0.08,0.92,@CNN,0.0,1.0026388984037089e+18
0.0,0.0,1.0,@CNN,0.0,1.002635330095403e+18
0.0,0.0,1.0,@CNN,0.0,1.0026318062885806e+18
-0.34,0.088,0.912,@CNN,0.0,1.0026283482190971e+18
0.0,0.0,1.0,@CNN,0.0,1.0026261195212268e+18
0.0,0.0,1.0,@CNN,0.0,1.0026225498537943e+18
0.296,0.0,0.885,@CNN,0.115,1.0026214116246734e+18
0.673,0.0,0.765,@CNN,0.235,1.002619829088596e+18
0.0,0.0,1.0,@CNN,0.0,1.002618303284736e+18
-0.778,0.43,0.57,@CNN,0.0,1.0026157635329925e+18
